City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,sitia,35.2,26.0986,64.04,62,92,13.27,GR,1712464863
128,tura,25.5198,90.2201,94.69,24,92,8.21,IN,1712464863
129,margaret river,-33.95,115.0667,78.53,42,4,14.36,AU,1712464864
130,illizi,26.4833,8.4667,71.4,16,33,12.35,DZ,1712464864
131,fortuna,40.5982,-124.1573,50.67,92,100,0.0,US,1712464864
132,port lincoln,-34.7333,135.8667,63.54,56,99,9.37,AU,1712464577
133,iqaluit,63.7506,-68.5145,11.93,79,75,21.85,CA,1712464864
134,les anglais,18.3054,-74.2197,75.51,85,2,1.48,HT,1712464865
135,dakingari,11.6451,4.0605,84.54,57,92,5.28,NG,1712464865
136,dazhong,33.1997,120.4578,66.04,49,97,9.28,CN,1712464865
137,jamestown,42.097,-79.2353,38.84,84,0,5.75,US,1712464645
138,vakarai,55.6035,23.8213,43.32,95,65,5.73,LT,1712464866
139,georgetown,5.4112,100.3354,91.33,62,20,10.36,MY,1712464608
140,hwange,-18.3693,26.5019,69.31,86,98,4.59,ZW,1712464866
141,klyuchi,52.2667,79.1667,47.73,80,100,15.19,RU,1712464866
142,kachkanar,58.7,59.4948,24.53,90,100,7.85,RU,1712464866
143,constantia,44.1833,28.65,54.7,90,53,3.44,RO,1712464867
144,kangding,30.0513,101.9603,48.83,99,100,4.16,CN,1712464756
145,eyl,7.9803,49.8164,85.24,60,100,10.02,SO,1712464486
146,acarau,-2.8856,-40.12,76.57,92,100,3.98,BR,1712464728
147,minas de marcona,-15.2119,-75.1103,62.01,87,99,8.72,PE,1712464867
148,tazovsky,67.4667,78.7,15.48,83,25,15.05,RU,1712464868
149,kaa-khem,51.6833,94.7333,48.4,65,99,2.35,RU,1712464868
150,susuman,62.7833,148.1667,18.09,73,31,2.21,RU,1712464868
151,san ignacio,17.1561,-89.0714,80.74,69,0,9.22,BZ,1712464868
152,pisco,-13.7,-76.2167,71.65,78,0,8.05,PE,1712464868
153,chela,34.069,104.4619,47.71,62,100,1.23,CN,1712464869
154,westport,41.1415,-73.3579,44.15,63,0,10.36,US,1712464673
155,namdrik,5.5994,168.1028,82.76,82,72,20.67,MH,1712464869
156,ciudad lazaro cardenas,17.9583,-102.2,71.33,81,25,2.89,MX,1712464869
157,longyearbyen,78.2186,15.6401,-2.36,71,20,2.3,SJ,1712464869
158,uturoa,-16.7333,-151.4333,84.43,77,94,10.54,PF,1712464870
159,tocopilla,-22.092,-70.1979,68.41,84,56,3.85,CL,1712464870
160,saudarkrokur,65.7461,-19.6394,27.19,82,100,28.48,IS,1712464870
161,saldanha,-33.0117,17.9442,66.25,79,73,17.38,ZA,1712464870
162,hammerfest,70.6634,23.6821,27.05,86,75,12.66,NO,1712464870
163,manokwari,-0.8667,134.0833,83.26,73,100,4.14,ID,1712464871
164,azusa,34.1336,-117.9076,55.18,65,0,2.57,US,1712464741
165,tadine,-21.55,167.8833,78.1,71,99,13.22,NC,1712464871
166,port augusta,-32.5,137.7667,70.47,45,76,13.91,AU,1712464871
167,darwin,-12.4611,130.8418,92.05,56,75,9.22,AU,1712464872
168,shingu,33.7333,135.9833,64.2,72,100,3.67,JP,1712464758
169,vorgashor,67.5833,63.95,18.81,87,100,15.1,RU,1712464872
170,aban,56.67,96.06,46.04,92,100,7.0,RU,1712464872
171,taro,-8.3862,115.28,78.85,68,65,3.06,ID,1712464872
172,el nido,11.1858,119.3956,86.05,67,97,11.12,PH,1712464872
173,atafu village,-8.5421,-172.5159,85.48,69,1,2.77,TK,1712464873
174,east london,-33.0153,27.9116,61.74,94,100,4.61,ZA,1712464851
175,avarua,-21.2078,-159.775,80.65,83,98,2.3,CK,1712464873
176,afaahiti,-17.75,-149.2833,84.07,82,70,11.81,PF,1712464873
177,whitehorse,60.7161,-135.0538,34.57,44,75,9.22,CA,1712464820
178,tomatlan,19.9333,-105.25,68.41,72,100,2.44,MX,1712464768
179,robertsport,6.7533,-11.3686,78.75,91,91,6.08,LR,1712464874
180,troitsko-pechorsk,62.7084,56.1964,23.7,85,100,13.0,RU,1712464874
181,margate,51.3813,1.3862,53.91,81,47,10.0,GB,1712464249
182,sete lagoas,-19.4658,-44.2467,70.68,88,1,6.67,BR,1712464874
183,coos bay,43.3665,-124.2179,46.99,100,75,4.61,US,1712464875
184,kargasok,59.0556,80.8572,16.97,70,26,17.0,RU,1712464875
185,caraballeda,10.6112,-66.8522,83.37,81,0,1.14,VE,1712464875
186,san rafael del yuma,18.4299,-68.6739,74.77,93,39,0.43,DO,1712464875
187,mary,37.0,62.5,70.88,24,12,9.84,TM,1712464876
188,la ronge,55.1001,-105.2842,44.85,57,20,5.75,CA,1712464876
